,Separation,Periodogram,MUSIC,OMP,cresfreq,cvswinfreq,swinfreq
0,0.3,0.009999999776482582,0.0,0.0,0.38100001215934753,0.4729999899864197,0.4009999930858612
1,0.30707070707070705,0.008999999612569809,0.0,0.0,0.3959999978542328,0.531000018119812,0.4580000042915344
2,0.3141414141414141,0.007000000216066837,0.0,0.0,0.4169999957084656,0.5260000228881836,0.453000009059906
3,0.32121212121212117,0.008999999612569809,0.0,0.0,0.4230000078678131,0.5270000100135803,0.4580000042915344
4,0.3282828282828283,0.007000000216066837,0.0010000000474974513,0.0,0.4659999907016754,0.5580000281333923,0.4950000047683716
5,0.33535353535353535,0.00800000037997961,0.0,0.0,0.46799999475479126,0.5649999976158142,0.5049999952316284
6,0.3424242424242424,0.008999999612569809,0.0,0.0,0.48500001430511475,0.5839999914169312,0.5239999890327454
7,0.34949494949494947,0.007000000216066837,0.0,0.0,0.4830000102519989,0.5910000205039978,0.5260000228881836
8,0.35656565656565653,0.008999999612569809,0.0010000000474974513,0.0,0.5180000066757202,0.640999972820282,0.5789999961853027
9,0.36363636363636365,0.01899999938905239,0.0,0.0,0.5379999876022339,0.6430000066757202,0.5920000076293945
10,0.3707070707070707,0.014999999664723873,0.0,0.0,0.5730000138282776,0.6769999861717224,0.640999972820282
11,0.37777777777777777,0.013000000268220901,0.0020000000949949026,0.0,0.5740000009536743,0.652999997138977,0.6349999904632568
12,0.38484848484848483,0.012000000104308128,0.0020000000949949026,0.0,0.578000009059906,0.6800000071525574,0.6359999775886536
13,0.3919191919191919,0.017000000923871994,0.0020000000949949026,0.0,0.5989999771118164,0.6819999814033508,0.6570000052452087
14,0.398989898989899,0.01899999938905239,0.0020000000949949026,0.0,0.6169999837875366,0.7160000205039978,0.671999990940094
15,0.406060606060606,0.017000000923871994,0.0010000000474974513,0.0,0.6380000114440918,0.7129999995231628,0.6919999718666077
16,0.4131313131313131,0.019999999552965164,0.0,0.0,0.6620000004768372,0.7200000286102295,0.7070000171661377
17,0.4202020202020202,0.019999999552965164,0.004000000189989805,0.0,0.6840000152587891,0.7459999918937683,0.7300000190734863
18,0.42727272727272725,0.020999999716877937,0.0010000000474974513,0.0,0.6830000281333923,0.7599999904632568,0.7450000047683716
19,0.43434343434343436,0.019999999552965164,0.0020000000949949026,0.0,0.6990000009536743,0.765999972820282,0.7490000128746033
20,0.44141414141414137,0.02199999988079071,0.004000000189989805,0.0,0.718999981880188,0.7879999876022339,0.7720000147819519
21,0.4484848484848485,0.03400000184774399,0.004000000189989805,0.0,0.7300000190734863,0.7829999923706055,0.7929999828338623
22,0.45555555555555555,0.020999999716877937,0.00800000037997961,0.0,0.7269999980926514,0.781000018119812,0.7789999842643738
23,0.4626262626262626,0.024000000208616257,0.004999999888241291,0.0,0.7570000290870667,0.8149999976158142,0.8119999766349792
24,0.46969696969696967,0.03099999949336052,0.007000000216066837,0.0,0.7519999742507935,0.7799999713897705,0.8059999942779541
25,0.47676767676767673,0.03400000184774399,0.007000000216066837,0.0,0.7699999809265137,0.8149999976158142,0.8309999704360962
26,0.48383838383838385,0.03400000184774399,0.010999999940395355,0.0,0.796999990940094,0.8180000185966492,0.8379999995231628
27,0.49090909090909085,0.032999999821186066,0.013000000268220901,0.0,0.8090000152587891,0.8450000286102295,0.8690000176429749
28,0.49797979797979797,0.03099999949336052,0.00800000037997961,0.0,0.8149999976158142,0.8519999980926514,0.8629999756813049
29,0.505050505050505,0.03999999910593033,0.009999999776482582,0.0,0.8429999947547913,0.8799999952316284,0.8849999904632568
30,0.5121212121212121,0.029999999329447746,0.008999999612569809,0.0,0.8360000252723694,0.8610000014305115,0.8740000128746033
31,0.5191919191919192,0.032999999821186066,0.013000000268220901,0.0,0.8379999995231628,0.8640000224113464,0.8769999742507935
32,0.5262626262626262,0.03700000047683716,0.004999999888241291,0.0,0.8529999852180481,0.875,0.8920000195503235
33,0.5333333333333333,0.03200000151991844,0.008999999612569809,0.0,0.8790000081062317,0.8809999823570251,0.8970000147819519
34,0.5404040404040404,0.03700000047683716,0.012000000104308128,0.0,0.875,0.8809999823570251,0.906000018119812
35,0.5474747474747474,0.04399999976158142,0.02199999988079071,0.0,0.8960000276565552,0.9070000052452087,0.9300000071525574
36,0.5545454545454545,0.05299999937415123,0.023000000044703484,0.0,0.9010000228881836,0.906000018119812,0.9399999976158142
37,0.5616161616161616,0.05299999937415123,0.019999999552965164,0.0,0.8930000066757202,0.902999997138977,0.9269999861717224
38,0.5686868686868687,0.05400000140070915,0.017000000923871994,0.0,0.9190000295639038,0.9169999957084656,0.9459999799728394
39,0.5757575757575757,0.0560000017285347,0.017999999225139618,0.0,0.9200000166893005,0.9210000038146973,0.9440000057220459
40,0.5828282828282828,0.06599999964237213,0.027000000700354576,0.0,0.9300000071525574,0.9150000214576721,0.9369999766349792
41,0.5898989898989899,0.04500000178813934,0.02500000037252903,0.0,0.9300000071525574,0.9259999990463257,0.949999988079071
42,0.5969696969696969,0.061000000685453415,0.02500000037252903,0.0,0.9509999752044678,0.9309999942779541,0.9570000171661377
43,0.6040404040404039,0.052000001072883606,0.017000000923871994,0.0,0.9350000023841858,0.9240000247955322,0.9470000267028809
44,0.6111111111111112,0.07000000029802322,0.041999999433755875,0.0010000000474974513,0.9539999961853027,0.9480000138282776,0.9639999866485596
45,0.6181818181818182,0.0560000017285347,0.02800000086426735,0.0,0.9459999799728394,0.9380000233650208,0.9549999833106995
46,0.6252525252525252,0.07999999821186066,0.04399999976158142,0.0010000000474974513,0.953000009059906,0.9430000185966492,0.9710000157356262
